Дата,Тип работ,Автомобиль,Кто выполнил работу,Услуги,Цена,Оплата,Примечание,,,,,,
,Электрика,,Виталик,диагностика генератора,500,,,,,,,,
,Электрика,,Савва,ремонт проводки задней двери,3000,,,,,,,,
,Электрика,,Виталик,диагностика + частичный ремонт сигнализации,1000,,,,,,,,
,Электрика,,Виталик,общая электрронна диагностика,2000,,,,,,,,
12.03.2026,Электрика,мазда сх6,Савва,диагнстика абс,800,800,,,,,,,
12.03.2026,Мойка,фокус 2,Савва,техмойка,500,800,,,,,,,
,Электрика,,Савва,замена разьема датчика давлени масла,300,,,,,,,,
17.03.26,Мойка,кадилак,Савва,тех мойка ,500,4000,,,,,,,
,Электрика,,Виталик,диагностика форсцнки,1000,,,,,,,,
,Электрика,,Савва,диагностика двери,2500,,,,,,,,
17.03.2026,Электрика,шкода,Савва,установка камеры ,3000,2500,.+виталик,,,,,,
,Электрика,,Виталик,установка магнитолы ,1500,,,,,,,,
,Мойка,,Савва,техмойка,500,,,,,,,,
,Электрика,,Виталик,замена подсветки номера ,600,,,,,,,,
,Электрика,,Виталик,замена повторителей в зеркале,2000,,,,,,,,
17.03.2026,Мойка,jaeco j7,Савва,3ф+кварц,2200,3600,,,,,,,
,Мойка,,Савва,пылесос,500,,,,,,,,
,Мойка,,Савва,влажная уборка ,500,,,,,,,,
,Мойка,,Савва,чистка стекл,500,,,,,,,,
,Мойка,,Савва,багажник ,500,,,,,,,,
,Мойка,,Савва,полироль пластика,500,,,,,,,,
,Мойка,,Савва,кондиционер кожи,500,,,,,,,,
20.03.2026,Электрика,жига,Савва,ремонт обрыва в двери (3 провода),1200,2500,,,,,,,
,Электрика,,Савва,ремонт провода стеклоочистителя ,800,,,,,,,,
,Мойка,,Савва,техмойка,500,,,,,5250,,,
26.03.2026,Электрика,опель,Савва,электрика(не заводится),5000,5000,,,,,,,
26.03.2026,Электрика,авео,Виталик,диагностика ремонт  ошибок двигателя,5200,,,,,,,,
,Электрика,,Виталик,работа с ошибкой по подушке,,,,,,,,,
,Мойка,,Виталик,техмойка,,,,,,,,,
26.03.2026,Продажа,трафик,Виталик,разьем дроселя,500,3600,,,,,,,
,Электрика,,Виталик,замена разЬема,800,,,,,,,,
,Электрика,,Савва,"проворка проводов от эбу до дроселя, проверка разьмов эбу",2000,,,,,,,,
,Электрика,,Виталик,проверка педали газа,300,,,,,,,,
26.03.2026,Электрика,ягуар,Виталик,техмойка,500,4500,аванс 2850,,,,,,
,Электрика,,Виталик,замена моторчика замка двери водителя,3500,,,,,,,,
,Электрика,,Савва,с\у бампера,1500,,,,,,,,
,Электрика,,Виталик,пайка бампера,1350,,,,,4250,/+2500, за GL500,.=1750
29.03.2026,Мойка,рио 2,Богдан,техмойка,500,4500,,,,,,,
,Электрика,,Савва,прозовнка провода овердрайва,2000,,,,,,,,
,Электрика,,Виталик,Диагностика,1500,,,,,,,,
,Электрика,,Виталик,замена датчика,500,,,,,,,,
29.03.2026,Мойка,сузуки витара,Богдан,техмойка ,500,1000,,,,,,,
,Электрика,,Виталик,дисагностика ремонт,500,,,,,,,,
29.03.2026,Мойка,банан,Богдан,2ф,1000,1000,,,,,,,
29.03.2026,Мойка,лансер 9,Богдан,техмойка,500,,юлин лансер,,,,,,
30.03.2026,Мойка,бусик,Богдан,техмойка,500,1800,,,,,,,
,Электрика,,Савва,протяжка проводов,1000,,,,,,,,
,Продажа,,Виталик,расходники,300,,,,,,,,
30.03.2026,Мойка,церато,Богдан,компелкс базовый,3000,4000,,,,,,,
,Продажа,,Виталик,фильтр салонный,600,,,,,,,,
,Продажа,,Виталик,вонючка,400,,,,,,,,
30.03.2026,Мойка,гоьф 5,Богдан,техиойка,500,800,,,,,,,
,Электрика,,Виталик,установка кнопки,300,,,,,,,,
31.03.2026,Мойка,авенсис,Богдан,салон,1000,1350,,,,,,,
,Мойка,,Богдан,вонючка,350,,,,,,,,
31.03.2026,Электрика,прадо,Виталик,шлейф,2000,4000,,,,,,,
,Электрика,,Виталик,замена шлейфа,1500,,,,,,,,
,Электрика,,Виталик,диагностика,500,,,,,,,,
31.03.2026,Продажа,веста,Виталик,камера,3000,5000,,,,,,,
,Электрика,,Савва,установка камеры,1500,,,,,,,,
,Мойка,,Савва,тех мойка,500,,,,,,,,
31.03.2026,Мойка,веста,Богдан,техмойка,500,500,,,,,,,
31.03.2026,Мойка,дастер,Савва,техмойка,500,6800,,,,,,,
,Электрика,,Савва,установк птф,3000,,,,,,,,
,Продажа,,Виталик,расходники,1500,,,,,,,,
,Электрика,,Савва,установка камеры,1800,,,,,,,,
31.03.2026,Электрика,ларгус,Виталик,замена батарейки,300,300,,,,,,,
01.04.2026,Мойка,скайлайн,Богдан,техмойка,500,6105,занес 5000,,,,,,
,Электрика,,Виталик,клеммы,800,,,,,,,,
,Электрика,,Виталик,расходники,1505,,,,,,,,
,Электрика,,Виталик,дубляж,2000,,,,,,,,
,Электрика,,Виталик,разминусовка,800,,,,,,,,
,Электрика,,Виталик,укладка проводов ,500,,,,,,,,
01.04.2026,Мойка,джак,Виталик,техмойка,700,1200,,,,,,,
,Электрика,,Виталик,ремонт фендеров,500,,,,,,,,
02.04.2026,Мойка,сид,Виталик,техмойка,500,5100,,,,,,,
,Электрика,,Виталик,установка магнитолы,1500,,,,,,,,
,Электрика,,Виталик,сращивание фишки магнитолы,800,,,,,,,,
,Электрика,,Виталик,установка камеры заднего вида,2000,,,,,,,,
,Электрика,,Виталик,расходники,300,,,,,,,,
02.04.2026,Электрика,калина,Виталик,замена замка зажигания,1200,1200,,,,,,,
03.04.2026,Мойка,скайлайн,Богдан,чистка ковриков,1200,1200,,,,,,,
03.04.2026,Электрика,нива,Виталик,установка обманки на стоп сигнал,1000,2900,,,,,,,
,Электрика,,Виталик,перепиновка фар,800,,,,,,,,
,Электрика,,Виталик,замена реле поворотов,1100,,,,,,,,
06.04.2026,Мойка,орландо,Богдан,чистка ковра от молока,15000,16500,вместе с саввой,Богдан оплатил,,,,,
,Мойка,,Виталик,химия,1500,,,,,,,,
08.04.2026,Электрика,оутлендер,Виталик,разъем дт,450,5150,,,,,,,
,Электрика,,Виталик,замена разъема дт,500,,,,,,,,
,Электрика,,Виталик,разъем датчика давления и vvti,600,,,,,,,,
,Электрика,,Виталик,замена разъема vvti,300,,,,,,,,
,Электрика,,Виталик,замена разъема давления + ремонт датчика,1000,,,,,,,,
,Электрика,,Виталик,диагностика,1000,,,,,,,,
,Электрика,,Виталик,тех мойка ,300,,,,,,,,
,Электрика,,Виталик,диагностика,1000,,,,,,,,
09.04.2026,Электрика,нива,Савва,подключение птф,3000,86250,,,,,,,
,Мойка,,Виталик,техмойка,500,,,,,,,,
,Электрика,,Виталик,комплект подключён птф,1500,,,,,,,,
,Электрика,,Виталик,переключатель с птф,4500,,,,,,,,
,Электрика,,Савва,установка диодов на зад фонари,800,,,,,,,,
,Электрика,,Виталик,замена реле ,300,,,,,,,,
,Электрика,,Савва,подключение передних фар,1500,,,,,,,,
,Электрика,,Савва,герметизаци фар,300,,,,,,,,
,Электрика,,Виталик,сигнализация + модуль запуска,19350,,,,,,,,
,Электрика,,Виталик,установка приводов центрального замка(весте с приводами),2000,,,,,,,,
,Электрика,,Виталик,установка рулевой колонки ,6000,,,,,,,,
,Электрика,,Виталик,подключение мультируля,1250,,,,,,,,
,Электрика,,Виталик,установка кнопки стартстоп,3000,,,,,,,,
,Электрика,,Виталик,установка сигнализации ,8000,,,,,,,,
,Электрика,,Виталик,"расходники по музыке(провода, оплетка, наконечники)",6800,,,,,,,,
,Электрика,,Виталик,"рца кабели, предохранитель, дитрибьютер",5200,,,,,,,,
,Электрика,,Виталик,"болты, крепеж, шумка, карпет",2700,,,,,,,,
,Электрика,,Виталик,установка привода багажника,2250,,,,,,,,
,Электрика,,Виталик,"установка аудиосистемы, собрка щита под усилитель",10000,,,,,,,,
,Электрика,,Виталик,"установка магнитолы, замена централно консоли",2500,,,,,,,,
,,,Виталик,регулировка фар ,2100,,,,,,,,
,,,Виталик,подиумы пищалки,2700,,,,,,,,
10.04.2026,Электрика,гольф,Савва,чистка потенциометров заслонок климата ,4000,4000,савва 25% переделывал,,,,,,
10.04.2026,Электрика,фордфокус,Виталик,дубляж на минус,1200,4200,,,,,,,
,Электрика,,Виталик,чистка массы(4 шт),500,,,,,,,,
,Электрика,,Виталик,вскрытие и чистка блока предохранителей ,2000,,,,,,,,
,Мойка,,Виталик,тех мойка,500,,,,,,,,
10.04.2026,Мойка,лексус,Виталик,техмойка,600,8300,предоплата 10000,,,,,,
,Электрика,,Виталик,с\у бампера,1500,,,,,,,,
,Электрика,,Виталик,заена фар,1000,,,,,,,,
,Электрика,,Виталик,подключение регистратора,1200,,,,,,,,
,Электрика,,олег,с\у задних фонарей,4000,,,,,,,,
11.04.2026,Мойка,атлас,Савва,3ф,1700,1700,,,,,,,
12.04.2026,Мойка,fx50,Савва,2ф+ влажка,1700,1700,,,,,,,
12.04.2026,Мойка,эвакуатор,Савва,мойка+ электрика,2500,2500,саввае 1000,,,,,,
13.04.2026,Электрика,круз,Виталик,диагностика и с/у стартера,3000,6500,,,,,,,
,Электрика,,Виталик,обслуживание стартера,2000,,,,,,,,
13.04.2026,Мойка,ягуар,Савва,2ф,1000,1000,,,,,,,
13.04.2026,Мойка,гранд витара,Савва,тех мойка.,600,6600,,,,,,,
,Электрика,,Виталик,установка и подключение задних ручек,3000,,,,,,,,
,Электрика,,Савва,установка практроника,3000,,олегу 500,,,,,,
13.04.2026,Мойка,тойта не альфард,Савва,2ф ,1200,1500,,,,,,,
13.04.2026,Продажа,гранта,Виталик,облицовки,650,10740,аванс 10000,,,,,,
,Электрика,,Савва,работа с цз,1800,,,,,,,,
,Электрика,,Савва,с/у бампера ,1500,,,,,,,,
,Электрика,,Савва,мойка радиатора,800,,,,,,,,
,Электрика,,Савва,работа с проводкой ,2000,,,,,,,,
,Продажа,,Виталик,лампы,650,,,,,,,,
,,,Виталик,слесарные работы(заказ наряд),3340,,,,,,,,
14.04.2026,Мойка,омода ,Савва,техмойка,500,1500,,,,,,,
,Мойка,,Виталик,установка регистатора ,1000,,,,,,,,
14.04.2026,Мойка,цра,Савва,техмойка ,500,500,,,,,,,
17.04.2026,Мойка,субару,Богдан,техмойка,500,300,,,,,,,
17.04.2026,Мойка,таос,Богдан,3ф+влаж+пылесос,2700,---,,,,,,,
17.04.2026,Мойка,туксон,Богдан,3ф,1500,1500,,,,,,,
17.04.2026,Мойка,митсуьиси,Богдан,2ф,1000,1000,,,,,,,
17.04.2026,Мойка,гольф,Богдан,2ф,800,400,,,,,,,
17.04.2026,Электрика,кулрей,Виталик,установка электорпривода баажника,7000,10300,,,,,,,
,Электрика,,Виталик,установка омывателя задней камеры,1500,,,,,,,,
,Электрика,,Виталик,подключение регистратора,1000,,,,,,,,
,Электрика,,олег,установка газовых упоров,800,,,,,,,,
17.04.2026,Мойка,банан,Богдан,2ф,1000,1000,,,,,,,
17.04.2026,Мойка,окаивия,Богдан,техмойка,500,5500,,,,,,,
,Электрика,,Савва,контурная подсветка,5000,,,,,,,,
17.04.2026,Электрика,скай,Савва,2ф,1000,800,,,,,,,
19.04.2026,Мойка,аутлендер,Савва,техмойка,500,1500,,,,,,,
,Электрика,,Савва,замена ингибитора + разьем ингибитра,1000,,,,,,,,
19.04.2026,Мойка,jaecoo j7,Савва,техмойка,500,1500,,,,,,,
,Электрика,,Савва,установка регистратора,1000,,,,,,,,
23.04.2026,Мойка,поло,Савва,углубленная уборка,8000,8000,,,,,,,
23.04.2026,Электрика,гранта,олег,установка упоров капота,800,7470,,,,,,,
,Электрика,,,замена фонаря ,500,,,,,,,,
,Электрика,,,установка гудка,1300,,,,,,,,
,Электрика,,,замена свечей,400,,,,,,,,
,Электрика,,Виталик,диагностика стеклоочистителя ,500,,,,,,,,
,Электрика,,,реле стеклоочистителя ,700,,,,,,,,
,Электрика,,,концевик двери водителя ,170,,,,,,,,
,Электрика,,Виталик,работа с багажником,1500,,,,,,,,
,Электрика,,Савва,работа с ручками дверей,1600,,,,,,,,
23.04.2026,Электрика,ягуар,Виталик,с/у бампера ,1500,4500,,,,,,,
,Электрика,,,пайка бампера,2000,,,,,,,,
,Мойка,,,мойка авто,1000,,,,,,,,
26.04.2026,Мойка,гранта,Виталик,тех мойка,500,3500,,,,,,,
,Электрика,,Виталик,установка мафана+камера,3000,,,,,,,,
27.04.2026,Электрика,лансер 9,Виталик,кнопка старт стоп,3000,3500,,,,,,,
,Мойка,,Виталик,тех мойка,500,,,,,,,,
28.04.2026,Электрика,лансер 9,Виталик,установка резистров,500,500,,,,,,,
29.04.2026,Электрика,гольф,Виталик,диагностика,500,500,,,,,,,
29.04.2026,Электрика,хонда црв,Виталик,установка подогрева зеркал,4000,4000,,,,,,,
29.04.2026,Мойка,кио рио,Савва,мойка кпп,500,500,,,,,,,
29.04.2026,Электрика,вольва,Савва,контурная подсветка,6000,6500,,,,,,,
29.04.2026,Мойка,,Савва,тех мойка,500,,,,,,,,
29.04.2026,Мойка,мерс,Савва,тех мойка,500,500,,,,,,,
04.05.2026,Электрика,опель,Виталик,электрика(не заводится),6000,6000,,,,,,,
04.05.2026,Электрика,авео,Савва,диагностика,500,2500,,,,,,,
,Электрика,,Савва,диагностика абс,500,,,,,,,,
,Электрика,,Виталик,ремонт дистанционнго управления,1500,,,,,,,,
"04,05,2026",Мойка,бусик,Савва,мойка 1+3,800,800,,,,,,,
"04,05,2026",Электрика,танет,Савва,установка регистратора,1000,1000,,,,,,,
04.05.2026,Электрика,вингорд,Виталик,диагностика,500,500,,,,,,,
03.05.2026,Электрика,вольво,Савва,установка водогенератора,8000,10500,25%,,,,,,
,Электрика,,Виталик,расходники,2000,,,,,,,,
,Мойка,,Виталик,техмойка,500,,,------,савва 10750,скинул 5000,,,
07.05.26,Мойка,лансер 9,Савва,2ф + влажная уборка,1000,1000,,,,,,,
07.05.26,Мойка,митубиси спейстар,Савва, 2ф,1000,1500,,,,,,,
,Мойка,,Савва,влажная уборка + полисос,500,,,,,,,,
07.05.26,Электрика,опель кирюша,Савва,регистратор,1000,1000,,,,,,,
11.05.26,Электрика,ягуар,Савва,паркроник дренаж диагностика,3500,3500,,,,,,,
11.05.26,Электрика,марк,Виталик,подключени заслонки выхлоп,3500,3500,,,,,,,
12.05.26,Мойка,сузуки,Савва,химчистка,12000,12000,9000скинул,,,,,,
,Электрика,,Виталик,диагностика,500,,,,,,,,
12.05.26,Мойка,пафик,Виталик,пайка концентраторов,5000,6000,,,,,,,
,Мойка,,Виталик,техмойка,500,,,,,,,,
,Мойка,,Савва,влажка пылесос,500,,савве это,,,,,,
13.05.26,Электрика,логан,Савва,регистратор,1000,1000,,,,,,,
13.05.26,Электрика,гранта,Савва,камера,1500,1500,,,,,,,
13.05.26,Электрика,2110,Виталик,ремонт проводки,2100,2100,,,,,,,
13.05.26,Электрика,естима,Виталик,замена камеры,1000,1000,,,,,,,
14.05.26,Мойка,кио рио,Савва,мойка радиатора,5000,5000,,,,,,,
15.05.26,Электрика,гранта,Савва,установка регестратора,1000,1000,,,,,,,
15.05.26,Мойка,субару,Савва,3ф + салон,2000,2000,,,,,,,
15.05.26,Мойка,марк 2 золотой,Савва,3ф + салон,2000,2000,,,,,,,
15.05.26,Мойка,копейка,Савва,3ф,800,800,савва 5 к аванс,,,,,,
15.05.26,Мойка,марк 2 белый ,Савва,3ф,1500,11600,,,,,,,
,Электрика,,Савва,установка зеркал,1000,,,,,,,,
,Электрика,,Савва,установка тюнинга под капотом,800,,,,,,,,
,Электрика,,Виталик,перегонка,1000,,,,,,,,
,,,Виталик,установка rev limit,3500,,,,,,,,
,,,Савва,установкаремней,3800,,савва 800,,,,,,
18.05.26,Электрика,солярис,Виталик,ремонт электрики,3000,3000,,,,,,,
18.05.26,Электрика,ауис,Савва,замена задних замков,1600,2100,,,,,,,
,Электрика,,Савва,закрепить бампера,500,,,,,,,,
18.05.26,Электрика,гранта,Савва,ремонт птф,1500,1500,,,,,,,
18.05.26,Электрика,танк 300,Виталик,установка регестратора,1500,1500,,,,,,,
18.05.26,Мойка,ягуар,Богдан,3ф,1500,3000,,,,,,,
,Мойка,,Богдан,салон,1500,,,,,,,,
18.05.26,Электрика,лачети,Виталик,установка сигнализации ,8000,25 500,,,,,,,
,Электрика,,Виталик,ремнот электрики,3000,,,,,,,,
,Электрика,,Виталик,обходчик ,1000,,,,,,,,
,Электрика,,Виталик,сигнализация ,13 500,,савва 5 к аванс,,,,,,
19.05.2026,Мойка,финик,Савва,2ф,1200,1200,,,,,,,
19.05.2026,Мойка,спейсстар,Савва,2ф,1000,1000,,"савва зп ---20450, с учётом всего 16200",,,,,
21.05.2026,Электрика,Вольво ,Савва,регистратор ,1000,1500,,,скинул 10000,,,,
,Электрика,,Виталик,дымогенератор,500,,,,,,,,
20.05.2026,Электрика,грант витара,Савва,3ф,3000,3000,,,,,,,
,Мойка,,Савва,анидождь,,,,,,,,,
20.05.2026,Мойка,рио,Савва,техмойка,500,500,,,,,,,
20.05.2026,Электрика,рено,Савва,ремонт птф,600,1300,,,,,,,
,Электрика,,Савва,замена ламп ,700,,,,,,,,
22.05.2026,Электрика,Хонда црв,Савва,ремонт электрики ,4500,4500,расходники 300,,,,,,
25.05.2026,Электрика,газель,Савва,установка камеры,3000,9300,,,,,,,
,Электрика,,Виталик,установка магнитолы,2000,,,,,,,,
,Электрика,,Виталик,установка стеклоподемников,4000,,,,,,,,
,Электрика,,Виталик,расходники,300,,,,,,,,
26.05.2026,Электрика,карнивал,Виталик,с/у бампера,2000,4000,вместен с саввой,,,,,,
,Электрика,,Виталик,с/у фонарей,400,,,,,,,,
,Электрика,,Савва,замена зптф,600,,,,,,,,
,Электрика,,Виталик,диагностика,1000,,,,,,,,
26.05.2026,Электрика,Джетта ,Виталик,ремонт аукс,500,1200,,,,,,,
,Электрика,,Савва,диагностик дверь ,700,,,,,,,,
26.05.2026,Электрика,спорткдж,Богдан,полировка,10000,14000,,,,,,,
,Электрика,,Виталик,керамика,2500,,,,,,,,
,Электрика,,Виталик,краска,500,,,,,,,,
,Электрика,,Виталик,бронь зон ручек,1000,,,,,,,,
27.05.2026,Электрика,гранта,Савва,установка птф,3000,4500,,савва 8800 ,,,,,
,Электрика,,Виталик,комплект подключения птф,1500,,,,,,,,
28.05.2026,Электрика,бмв х5,Виталик,ремонт стартера,11000,19500,,,,,,,
,Электрика,,Виталик,резинки на коллектор,2500,,,,,,,,
,Электрика,,Виталик,диагнростика с\у стартера,6000,,,,,,,,
